input_id	dealiased_id	standard_id	short_id
doi:10.1136/amiajnl-2011-000464	doi:10.1136/amiajnl-2011-000464	doi:10.1136/amiajnl-2011-000464	LSIHEGBh
doi:10.1093/bioinformatics/btz682	doi:10.1093/bioinformatics/btz682	doi:10.1093/bioinformatics/btz682	SkPpj3hW
doi:10.1186/s12911-020-01352-2	doi:10.1186/s12911-020-01352-2	doi:10.1186/s12911-020-01352-2	oLW8vNId
doi:10.1007/s40264-018-0762-z	doi:10.1007/s40264-018-0762-z	doi:10.1007/s40264-018-0762-z	wxrAcy8u
doi:10.1093/database/baaa064	doi:10.1093/database/baaa064	doi:10.1093/database/baaa064	Aau0mlGa
url:https://www.aclweb.org/anthology/C16-2015	url:https://www.aclweb.org/anthology/C16-2015	url:https://www.aclweb.org/anthology/C16-2015	dckqjBqg
doi:10.1038/s41597-019-0055-0	doi:10.1038/s41597-019-0055-0	doi:10.1038/s41597-019-0055-0	rGefJsoC
doi:10.1038/sdata.2017.125	doi:10.1038/sdata.2017.125	doi:10.1038/sdata.2017.125	rc4BI37X
url:http://stargeo.org/api_docs	url:http://stargeo.org/api_docs	url:http://stargeo.org/api_docs	JJvRe4Xx
doi:10.18653/v1/W16-2922	doi:10.18653/v1/W16-2922	doi:10.18653/v1/w16-2922	2W804yHJ
doi:10.1016/j.jbi.2018.09.008	doi:10.1016/j.jbi.2018.09.008	doi:10.1016/j.jbi.2018.09.008	8NKQyXww
url:https://github.com/boudinfl/pke	url:https://github.com/boudinfl/pke	url:https://github.com/boudinfl/pke	kzLP6OpW
doi:10.1038/s41598-019-47046-2	doi:10.1038/s41598-019-47046-2	doi:10.1038/s41598-019-47046-2	1EJaRkbTp
doi:10.1186/s12859-018-2496-4	doi:10.1186/s12859-018-2496-4	doi:10.1186/s12859-018-2496-4	G52ssUB4
url:https://arxiv.org/abs/1607.04606	url:https://arxiv.org/abs/1607.04606	url:https://arxiv.org/abs/1607.04606	17Bh2zE6s
doi:10.1371/journal.pone.0220976	doi:10.1371/journal.pone.0220976	doi:10.1371/journal.pone.0220976	6WZB9lTq
url:http://arxiv.org/abs/1607.05368	url:http://arxiv.org/abs/1607.05368	url:http://arxiv.org/abs/1607.05368	YTvwxF00
doi:10.1093/nar/30.1.207	doi:10.1093/nar/30.1.207	doi:10.1093/nar/30.1.207	14VfbatMA
doi:10.1145/2723872.2723882	doi:10.1145/2723872.2723882	doi:10.1145/2723872.2723882	heYSKCTA
url:https://hub.docker.com/_/python	url:https://hub.docker.com/_/python	url:https://hub.docker.com/_/python	TJY8XInf
doi:10.3389/frma.2019.00002	doi:10.3389/frma.2019.00002	doi:10.3389/frma.2019.00002	x30kePas
url:http://arxiv.org/abs/2006.01131	url:http://arxiv.org/abs/2006.01131	url:http://arxiv.org/abs/2006.01131	ieR5dnsn
doi:10.1038/d41586-020-03277-2	doi:10.1038/d41586-020-03277-2	doi:10.1038/d41586-020-03277-2	44ZXsjwa
url:https://arxiv.org/abs/1607.05368	url:https://arxiv.org/abs/1607.05368	url:https://arxiv.org/abs/1607.05368	15nnJZdR0
url:http://arxiv.org/abs/1806.02901	url:http://arxiv.org/abs/1806.02901	url:http://arxiv.org/abs/1806.02901	5CpWCZGC
